(1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 17, 19, 21, 22, 24, 26, 32, 33, 37, 41)
(7, 10, 24, 26, 32, 33, 37)
(2, 3, 7, 8, 13, 33, 37)
(1, 6, 8, 13, 19, 21, 32)
(2, 5, 7, 13, 21, 26, 32)
(17, 19, 21, 22, 26, 37, 41)
(1, 2, 3, 10, 13, 17, 22)
(1, 7, 8, 10, 19, 33, 41)
(2, 3, 5, 6, 7, 19, 24)
(5, 9, 13, 17, 22, 24, 41)
(6, 7, 9, 13, 32, 33, 41)
(5, 6, 8, 9, 10, 26, 33)
(8, 10, 13, 21, 22, 24, 26)
(2, 3, 9, 22, 24, 26, 32)
(3, 5, 7, 10, 17, 26, 41)
(2, 5, 6, 21, 22, 33, 41)
(1, 5, 10, 13, 19, 26, 37)
(1, 2, 8, 9, 21, 24, 33)
(1, 2, 6, 8, 22, 26, 37)
(2, 7, 9, 10, 21, 22, 37)
(1, 3, 8, 9, 17, 19, 37)
(3, 6, 10, 19, 21, 33, 37)
(2, 8, 10, 17, 21, 32, 41)
(3, 5, 8, 24, 32, 37, 41)
(1, 6, 7, 17, 21, 26, 33)
(3, 13, 17, 19, 24, 26, 33)
(5, 9, 10, 19, 21, 24, 32)
(1, 6, 10, 22, 24, 32, 41)
(2, 3, 9, 13, 19, 21, 41)
(2, 6, 13, 17, 24, 32, 37)
(1, 7, 13, 21, 24, 37, 41)
(1, 5, 9, 22, 32, 33, 37)
(1, 3, 5, 7, 8, 21, 22)
(2, 7, 17, 19, 22, 32, 33)
(1, 7, 9, 19, 22, 24, 26)
(6, 7, 9, 10, 13, 17, 19)
(3, 6, 8, 17, 22, 24, 33)
(2, 9, 17, 26, 33, 37, 41)
(1, 3, 21, 26, 32, 33, 41)
(3, 5, 6, 9, 17, 21, 32)
(5, 8, 13, 17, 21, 33, 37)
(1, 5, 8, 17, 24, 26, 32)
(6, 8, 9, 19, 24, 26, 41)
(3, 8, 10, 19, 22, 26, 32)
(2, 5, 10, 13, 24, 33, 41)
(3, 6, 7, 13, 22, 26, 37)
(1, 2, 5, 6, 17, 19, 41)
(2, 5, 8, 9, 13, 19, 22)
(1, 3, 7, 9, 10, 13, 32)
(5, 6, 7, 8, 10, 32, 37)
(2, 8, 10, 17, 19, 24, 37)
(5, 6, 9, 21, 24, 26, 37)
(8, 9, 10, 13, 22, 37, 41)
(1, 3, 5, 6, 13, 24, 33)
(1, 2, 7, 19, 32, 37, 41)
(7, 8, 9, 17, 22, 26, 32)
(1, 8, 13, 22, 26, 33, 41)
(5, 7, 9, 19, 33, 37, 41)
(1, 2, 3, 6, 9, 10, 26)
(3, 5, 13, 19, 22, 32, 41)
(7, 13, 19, 21, 22, 24, 33)
(3, 7, 17, 21, 24, 32, 37)
(3, 9, 10, 17, 21, 22, 33)
(3, 6, 7, 8, 9, 21, 41)
(2, 7, 8, 17, 22, 24, 41)
(2, 5, 6, 19, 26, 32, 33)
(1, 6, 10, 17, 33, 37, 41)
(1, 2, 3, 5, 10, 21, 37)
(2, 7, 8, 10, 19, 21, 26)
(1, 2, 5, 7, 9, 13, 17)
(6, 10, 13, 17, 26, 32, 41)
(8, 9, 13, 21, 26, 32, 37)
(1, 3, 19, 22, 24, 33, 37)
(1, 5, 9, 10, 21, 26, 41)
(1, 6, 9, 13, 17, 21, 22)
(2, 3, 6, 8, 17, 21, 26)
(5, 7, 10, 17, 22, 24, 37)
(9, 17, 19, 24, 32, 33, 41)
(3, 7, 8, 9, 10, 13, 24)
(2, 6, 10, 13, 22, 32, 33)
(3, 6, 9, 19, 22, 32, 37)
(2, 3, 10, 24, 26, 37, 41)
(1, 2, 6, 7, 10, 21, 24)
(5, 6, 8, 10, 17, 19, 22)
(2, 3, 5, 8, 9, 32, 33)
(5, 6, 7, 8, 13, 26, 41)
(1, 3, 17, 19, 21, 24, 41)
(8, 21, 22, 32, 33, 37, 41)
(1, 2, 13, 19, 24, 26, 32)
(2, 3, 7, 22, 26, 33, 41)
(1, 8, 10, 13, 17, 32, 33)
(1, 6, 7, 8, 9, 24, 37)
(3, 5, 8, 19, 21, 26, 33)
(2, 5, 17, 21, 22, 24, 26)
(1, 2, 9, 10, 19, 22, 33)
(6, 7, 19, 21, 22, 32, 41)
(1, 2, 3, 6, 8, 13, 41)
(3, 5, 9, 13, 17, 26, 37)
(6, 13, 19, 24, 33, 37, 41)
(3, 7, 8, 13, 17, 19, 32)
(2, 5, 9, 10, 17, 32, 37)
(3, 5, 6, 10, 13, 21, 41)
(5, 7, 8, 22, 24, 32, 33)
(1, 10, 21, 22, 26, 32, 37)
(1, 5, 7, 17, 19, 21, 33)
(2, 6, 7, 9, 17, 24, 33)
(2, 9, 10, 13, 21, 26, 33)
(1, 3, 7, 9, 17, 22, 41)
(2, 5, 8, 19, 21, 37, 41)
(1, 3, 6, 7, 19, 26, 32)
(1, 2, 5, 7, 26, 33, 37)
(2, 3, 13, 21, 22, 24, 32)
(5, 6, 7, 9, 10, 22, 26)
(1, 2, 5, 8, 9, 32, 41)
(2, 3, 5, 6, 22, 37, 41)
(2, 6, 13, 17, 19, 21, 37)
(3, 9, 10, 24, 33, 37, 41)
(7, 10, 13, 17, 21, 33, 41)
(6, 8, 10, 21, 24, 32, 33)
(7, 9, 21, 24, 26, 32, 41)
(1, 7, 13, 17, 22, 32, 37)
(1, 8, 9, 10, 17, 24, 26)
(3, 10, 13, 19, 32, 33, 37)
(6, 9, 19, 21, 22, 26, 33)
(5, 13, 17, 22, 26, 32, 33)
(7, 8, 17, 19, 26, 37, 41)
(1, 5, 19, 22, 24, 26, 41)
(1, 2, 3, 17, 24, 32, 33)
(2, 9, 13, 19, 22, 24, 37)
(3, 7, 10, 19, 22, 24, 41)
(2, 6, 9, 10, 19, 32, 41)
(2, 3, 5, 10, 17, 19, 33)
(1, 5, 8, 10, 13, 19, 24)
(3, 7, 9, 19, 21, 26, 37)
(3, 6, 17, 26, 32, 37, 41)
(6, 7, 8, 19, 22, 33, 37)
(1, 2, 6, 9, 21, 32, 37)
(6, 10, 17, 19, 22, 24, 26)
(5, 6, 8, 17, 21, 24, 41)
(2, 6, 7, 8, 13, 24, 26)
(1, 5, 6, 13, 21, 22, 37)
(3, 5, 7, 10, 22, 32, 33)
(1, 3, 8, 24, 26, 33, 37)
(1, 9, 13, 19, 26, 33, 41)
(3, 5, 7, 9, 21, 24, 33)
(1, 8, 17, 19, 21, 22, 32)
(6, 8, 9, 13, 17, 33, 37)
(1, 3, 6, 7, 10, 17, 37)
(2, 19, 21, 24, 32, 33, 37)
(1, 5, 13, 17, 32, 37, 41)
(1, 3, 5, 6, 9, 19, 24)
(2, 7, 10, 13, 22, 26, 41)
(1, 2, 6, 7, 8, 22, 32)
(3, 5, 8, 9, 22, 26, 37)
(5, 6, 7, 9, 13, 24, 32)
(1, 3, 13, 17, 21, 24, 26)
(5, 7, 8, 9, 17, 19, 21)
(2, 3, 6, 8, 19, 33, 41)
(2, 5, 8, 10, 22, 24, 33)
(3, 6, 8, 10, 13, 21, 37)
(1, 2, 9, 17, 19, 26, 32)
(1, 2, 13, 21, 22, 33, 41)
(9, 17, 21, 22, 24, 37, 41)
(3, 5, 8, 10, 17, 33, 41)
(1, 6, 7, 24, 26, 33, 41)
(1, 9, 10, 13, 24, 33, 37)
(3, 5, 6, 10, 24, 26, 32)
(3, 8, 9, 13, 24, 32, 41)
(2, 8, 13, 17, 19, 26, 41)
(5, 10, 13, 17, 19, 21, 32)
(2, 10, 17, 22, 26, 33, 37)
(6, 10, 19, 21, 26, 37, 41)
(2, 3, 7, 10, 17, 32, 41)
(1, 2, 3, 10, 19, 21, 22)
(5, 7, 17, 19, 24, 26, 37)
(8, 13, 19, 22, 24, 32, 37)
(7, 8, 9, 19, 26, 32, 33)
(3, 6, 9, 13, 22, 26, 33)
(1, 2, 3, 5, 8, 13, 26)
(5, 6, 7, 17, 32, 33, 41)
(2, 5, 9, 22, 26, 32, 41)
(1, 8, 9, 10, 19, 21, 37)
(2, 5, 6, 7, 10, 13, 37)
(1, 5, 7, 10, 19, 32, 41)
(1, 3, 8, 10, 22, 37, 41)
(3, 6, 7, 13, 17, 21, 22)
(1, 2, 3, 9, 24, 37, 41)
(2, 6, 8, 9, 17, 22, 32)
(2, 3, 5, 17, 19, 22, 37)
(2, 8, 10, 26, 32, 33, 41)
(1, 6, 7, 10, 13, 19, 33)
(1, 5, 10, 21, 24, 32, 33)
(7, 8, 10, 17, 21, 26, 33)
(3, 6, 8, 19, 21, 22, 24)
(1, 5, 6, 8, 9, 22, 33)
(5, 13, 21, 26, 33, 37, 41)
