(4, 7, 14, 17, 20, 27, 30, 33, 39, 44)
(4, 7, 20, 27, 30, 44)
(17, 20, 27, 30, 33, 44)
(7, 17, 27, 30, 33, 39)
(7, 14, 27, 30, 33, 44)
(14, 17, 20, 30, 33, 39)
(4, 7, 14, 17, 27, 33)
(4, 7, 17, 30, 39, 44)
(4, 14, 17, 27, 30, 44)
(4, 20, 30, 33, 39, 44)
(4, 7, 17, 20, 30, 33)
(7, 14, 20, 27, 33, 39)
(7, 14, 17, 20, 39, 44)
(4, 14, 17, 20, 33, 44)
(4, 14, 27, 30, 33, 39)
(4, 7, 27, 33, 39, 44)
(14, 17, 27, 33, 39, 44)
(4, 7, 14, 20, 30, 39)
(4, 17, 20, 27, 30, 39)
(4, 14, 20, 27, 39, 44)
(7, 14, 17, 20, 27, 30)
(7, 20, 30, 33, 39, 44)
(4, 7, 17, 20, 33, 39)
(7, 14, 27, 30, 39, 44)
(4, 7, 14, 17, 27, 39)
(4, 7, 14, 20, 33, 44)
(4, 14, 20, 27, 30, 33)
(4, 7, 17, 20, 27, 44)
(7, 14, 17, 30, 33, 44)
(20, 27, 30, 33, 39, 44)
(4, 17, 27, 30, 33, 44)
(14, 20, 30, 33, 39, 44)
(4, 14, 17, 20, 30, 44)
(4, 14, 17, 30, 33, 39)
(4, 7, 14, 30, 33, 44)
(4, 7, 14, 33, 39, 44)
(7, 17, 20, 27, 39, 44)
(4, 17, 20, 27, 33, 39)
(7, 17, 20, 27, 33, 44)
(4, 17, 27, 30, 39, 44)
(17, 20, 30, 33, 39, 44)
(4, 14, 17, 20, 39, 44)
(4, 7, 14, 17, 27, 44)
(4, 7, 14, 17, 27, 30)
(7, 14, 20, 27, 30, 44)
(4, 7, 27, 30, 33, 39)
(14, 17, 20, 27, 30, 39)
(4, 7, 17, 33, 39, 44)
(14, 17, 20, 27, 33, 44)
(7, 14, 17, 30, 33, 39)
(4, 7, 14, 17, 20, 27)
(7, 14, 20, 27, 30, 33)
(7, 17, 20, 27, 30, 44)
(4, 7, 20, 27, 33, 39)
(4, 14, 17, 30, 39, 44)
(7, 17, 20, 27, 30, 39)
(4, 14, 20, 27, 33, 44)
(4, 7, 20, 30, 39, 44)
(7, 14, 17, 27, 30, 33)
(7, 14, 17, 20, 30, 33)
(4, 14, 20, 27, 33, 39)
45-10-6-5-5-1-60
