(1, 2, 4, 5, 6, 9, 11, 15, 16, 19, 20, 22, 28, 30, 34, 35, 40, 43, 44)
(6, 9, 11, 16, 30, 34, 43)
(5, 15, 16, 22, 28, 35, 40)
(4, 5, 9, 11, 16, 20, 35)
(1, 2, 11, 16, 20, 34, 40)
(4, 5, 15, 19, 30, 43, 44)
(1, 2, 5, 6, 19, 20, 30)
(2, 4, 16, 19, 28, 30, 34)
(1, 4, 20, 28, 35, 40, 44)
(4, 9, 19, 22, 35, 40, 43)
(1, 11, 15, 22, 28, 34, 44)
(1, 2, 4, 15, 22, 30, 35)
(1, 2, 9, 15, 16, 19, 44)
(1, 5, 9, 22, 28, 30, 43)
(4, 6, 11, 15, 20, 28, 30)
(5, 6, 9, 11, 19, 22, 44)
(2, 11, 28, 30, 35, 40, 43)
(11, 16, 19, 20, 28, 43, 44)
(1, 5, 16, 30, 34, 35, 44)
(2, 6, 15, 30, 34, 40, 44)
(9, 16, 20, 22, 30, 40, 44)
(2, 5, 9, 20, 28, 34, 44)
(1, 4, 6, 16, 22, 43, 44)
(11, 19, 20, 22, 30, 34, 35)
(1, 6, 15, 20, 34, 35, 43)
(1, 6, 9, 19, 28, 34, 40)
(2, 4, 5, 11, 22, 34, 43)
(2, 6, 15, 19, 22, 28, 43)
(6, 11, 15, 16, 19, 35, 40)
(2, 4, 15, 16, 20, 40, 43)
(2, 6, 9, 16, 22, 34, 35)
(1, 4, 5, 9, 11, 15, 40)
(4, 5, 6, 20, 22, 34, 40)
(6, 9, 15, 28, 30, 35, 44)
(1, 2, 5, 6, 11, 16, 28)
(2, 5, 11, 15, 20, 35, 44)
(4, 5, 6, 28, 34, 35, 43)
(1, 5, 15, 16, 19, 20, 22)
(2, 4, 6, 9, 11, 40, 44)
(4, 9, 15, 19, 20, 34, 44)
(5, 16, 19, 34, 40, 43, 44)
(1, 2, 9, 11, 20, 22, 43)
(2, 5, 9, 19, 30, 35, 40)
(1, 11, 19, 30, 40, 43, 44)
(5, 6, 9, 15, 20, 40, 43)
(1, 4, 9, 20, 30, 34, 43)
(1, 4, 9, 11, 19, 28, 35)
(1, 6, 11, 22, 30, 35, 40)
(1, 15, 16, 28, 30, 40, 43)
(1, 2, 19, 34, 35, 43, 44)
(2, 4, 19, 22, 28, 40, 44)
(4, 9, 15, 16, 22, 28, 34)
(5, 11, 15, 19, 28, 30, 34)
(11, 15, 16, 22, 35, 43, 44)
(4, 6, 16, 19, 20, 30, 35)
